antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'b0961721fd839e9982420e807758a2a6'}),frozenset({'0bcc3eeca39e1064258aa1e932269894'}),0.0297951582867784,0.025139664804469275,0.002793296089385475,0.09375,3.7291666666666665,1.0,0.002044255797259761,1.075707956077827,0.7543186180422263,0.053571428571428575,0.07037965616045845,0.10243055555555555
frozenset({'0bcc3eeca39e1064258aa1e932269894'}),frozenset({'b0961721fd839e9982420e807758a2a6'}),0.025139664804469275,0.0297951582867784,0.002793296089385475,0.1111111111111111,3.7291666666666665,1.0,0.002044255797259761,1.0914804469273744,0.7507163323782234,0.053571428571428575,0.0838131797824696,0.10243055555555555
frozenset({'368c6c730842d78016ad823897a372db'}),frozenset({'0bcc3eeca39e1064258aa1e932269894'}),0.08100558659217877,0.025139664804469275,0.0037243947858473,0.04597701149425287,1.8288633461047252,1.0,0.001687941491630515,1.0218415561688092,0.49316109422492405,0.03636363636363636,0.021374699469749365,0.0970625798212005
frozenset({'0bcc3eeca39e1064258aa1e932269894'}),frozenset({'368c6c730842d78016ad823897a372db'}),0.025139664804469275,0.08100558659217877,0.0037243947858473,0.14814814814814814,1.8288633461047255,1.0,0.001687941491630515,1.0788195287830944,0.4648997134670487,0.03636363636363636,0.07306090284813689,0.0970625798212005
frozenset({'0bcc3eeca39e1064258aa1e932269894'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.025139664804469275,0.08752327746741155,0.002793296089385475,0.1111111111111111,1.2695035460992907,1.0,0.0005929902312661901,1.026536312849162,0.21776504297994265,0.02542372881355932,0.02585034013605441,0.07151300236406619
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),frozenset({'0bcc3eeca39e1064258aa1e932269894'}),0.08752327746741155,0.025139664804469275,0.002793296089385475,0.031914893617021274,1.2695035460992907,1.0,0.0005929902312661901,1.0069985880041745,0.23265306122448973,0.02542372881355932,0.006949948180210933,0.07151300236406619
frozenset({'0bcc3eeca39e1064258aa1e932269894'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.025139664804469275,0.09683426443202979,0.00558659217877095,0.2222222222222222,2.2948717948717947,1.0,0.0031522112293623796,1.1612130885873901,0.5787965616045846,0.048,0.1388316151202749,0.13995726495726496
frozenset({'422879e10f46682990de24d770e7f83d'}),frozenset({'0bcc3eeca39e1064258aa1e932269894'}),0.09683426443202979,0.025139664804469275,0.00558659217877095,0.057692307692307696,2.2948717948717947,1.0,0.0031522112293623796,1.0345456618401552,0.6247422680412371,0.048,0.03339210932334142,0.13995726495726496
frozenset({'0bcc3eeca39e1064258aa1e932269894'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.025139664804469275,0.08193668528864059,0.002793296089385475,0.1111111111111111,1.356060606060606,1.0,0.0007334352860397615,1.0328212290502794,0.26934097421203435,0.026785714285714288,0.03177822853279243,0.0726010101010101
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'0bcc3eeca39e1064258aa1e932269894'}),0.08193668528864059,0.025139664804469275,0.002793296089385475,0.034090909090909095,1.3560606060606062,1.0,0.0007334352860397615,1.0092671705553729,0.2860040567951318,0.026785714285714288,0.009182078666319357,0.0726010101010101
